culture_id;CultureRGA;idSeuilRGA;LibelleSeuilRGA;;;;;;;;;;;;;;;;;;
415;Hibiscus;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
416;Lys - plein champ;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
417;Lys - sous ombrière;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
418;Lys - sous serre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
419;Orchidées - plein champ;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
420;Orchidées - sous ombrière;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
421;Orchidées - sous serre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
422;Pandanus toiture (rau'oro);7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
423;Pandanus vannerie (pae'ore);7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
424;Rose de pocelaine et torche;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
425;Rosier - plein champ;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
426;Rosier - sous ombrière;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
427;Rosier - sous serre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
428;Tiare Tahiti;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
429;Autres fleurs annuelles (ou tempérées) - plein champ;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
430;Autres fleurs annuelles (ou tempérées) - sous ombrière;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
431;Autres fleurs annuelles (ou tempérées) - sous serre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
432;Autres fleurs tropicales (strelitzia, canna, calathea, costus...);7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
501;Cacaoier;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
502;Caféier ;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
503;Canne à sucre;4;Canne à sucre;;;;;;;;;;;;;;;;;;
